# id	parent	commit	category	message
tp-impact-traversal	fbf6b6698032cdb0d28337b48c1a6f477b03cf18	6b3309009207716302addddf048a1c70751c899c	fix	bound typed impact traversal
tp-context-shared-nodes	6b3309009207716302addddf048a1c70751c899c	3cfcbd89aa4a957263850befea3ff281702edf0d	fix	isolate shared context nodes
tp-shared-test-bridge	ad9376a2a2d86c6177b7789233e195ee9a172fba	8f1c92a74440ccbe5012f684b9919e3e2f834770	fix	stop shared tests bridging unrelated intent
tp-fingerprint-name-match	da94c632280d6814bace5b6e7b91aa1f1a3ae75a	b4cc74c27cdabda58e94b78145d160fedfa6cab7	fix	require name match for cross-file fingerprint identity
tp-transition-scope	b4cc74c27cdabda58e94b78145d160fedfa6cab7	21940b4dd9979adf8b79d0b4c1b971a4b505b6af	fix	scope symbol-identity claims to whole transition
tp-cross-file-move	2799ad16ab6d2183feee0a760a252ddd73cfe999	bbbe11068faf25079274121264da8b31486cdeb6	fix	merge cross-file symbol moves into one silent rename
tp-explicit-seed-bounded	1041741ca9e6e4925b2f1d0301f18fb5e132d534	2bf128c6549d7e7d8faef0031e3e8900a2a152eb	fix	keep explicit context seeds bounded
tp-utf8-boundary-panic	857c5a6fcb52e43f427947fff8a4c455f5d042ec	f5930817d2ba02eebf1103048dee38bb74487b9e	fix	avoid UTF-8 boundary panic in DDL recognizer
tp-order-independent-identity	f5930817d2ba02eebf1103048dee38bb74487b9e	aff1b44db07b4a38fdcc9492af7e46844c776bec	fix	make cross-file symbol identity matching order-independent
tn-docs-traversal-invariant	3cfcbd89aa4a957263850befea3ff281702edf0d	3164d02a4c5db872aead45e39e93a0af2404fe74	docs	revalidate traversal invariant
tn-docs-handoff	29b92bb8037515360aad52d29b40979485a956c9	ad9376a2a2d86c6177b7789233e195ee9a172fba	docs	add next-agent handoff
tn-docs-revalidate-after-identity	21940b4dd9979adf8b79d0b4c1b971a4b505b6af	0296cb29801238fac499788b2665e2b30ee58a35	docs	revalidate invariants and requirements after traversal/identity fixes
tn-docs-revalidate-go-goose-sqla	aff1b44db07b4a38fdcc9492af7e46844c776bec	99d19e71e8dcf8959b76e560e5b69b288e679f1d	docs	revalidate first-party context after Go/goose/SQLAlchemy work
new-go-module	d13888a5c4a0d292de324f71a1abf3dc64b1248c	7148a369aaaed25c6ee443b10e69af6d905b2016	feat	add a Go language module beside Python and Rust
new-schema-aware-review	6e009b791c14821218de5e3f355e363495ec58dd	a97e09eafbd29c23a7530a5432772abad71914ba	feat	schema-aware ctx review deterministic destructive-change detection
new-db-interactions	5f1e72112da968312a982a07def41099ff942200	5bd9ff47090c6d27d2485f64c073720d1ef92069	feat	extract evidence-backed database interactions
